,p_value,scores
self_evaluation_length,0.0,18648.914867302443
teacher_id,0.0,66400706.12171523
sale_id,0.0,58748729.851401195
grade_subject,0.0,3355.845700089354
student_grade_lpo,2.296616199561664e-103,466.06946968010834
subject_ids,1.2932469763860898e-88,398.29689354142556
learning_target_lenght,2.610500306233234e-85,383.1152766676677
coil_in,1.6587690139398485e-18,77.05958874405827
student_province,6.209441192103898e-16,65.3694385546149
student_province_byphone,1.508233094142644e-11,45.52343656575333
school_background,6.4973970679524524e-09,33.679737303050764
student_city_class,3.76974627136921e-07,25.80875501269218
is_first_trail,4.941518902438864e-07,25.286513245359515
score_max,0.0009870807374722367,10.851644235481164
score_min,0.006933306210733901,7.290166189434077
grade_rank,0.009849927217526647,6.661837959348048
class_rank_fillna,0.010227075682226118,6.594909462339631
class_background_label,0.07698452990897467,3.1274402627488436
know_origin,0.185699630859122,1.751409546252736
exam_year,0.22553841543635594,1.468779148126802
score_mean,0.726567401493436,0.12228678403132467
