,df,sum_sq,mean_sq,F,PR(>F)
is_first_trail,1.0,170.171089805399,170.171089805399,726.5174375591544,6.454244404769571e-160
sale_id,1.0,101.73012081676994,101.73012081676994,434.31999397137315,2.0258388236386173e-96
exam_year,1.0,90.47730387414981,90.47730387414981,386.2779455845194,5.710040573506871e-86
teacher_id,1.0,44.30402851610217,44.30402851610217,189.14875204639515,4.954541347671609e-43
school_background,1.0,39.01023343488783,39.01023343488783,166.5477659343283,4.251482339801969e-38
self_evaluation_length,1.0,30.03174622291551,30.03174622291551,128.2155937077812,1.0142665417417047e-29
student_city_class,1.0,12.680766492072792,12.680766492072792,54.13844377821231,1.870978357206329e-13
score_mean,1.0,12.001064337386236,12.001064337386236,51.23656738845057,8.1976731894261e-13
subject_ids,1.0,6.414016562276576,6.414016562276576,27.38358720400761,1.6689990385743603e-07
coil_in,1.0,5.0601541614055785,5.0601541614055785,21.6034946899778,3.353150633250817e-06
learning_target_lenght,1.0,4.821604616428027,4.821604616428027,20.585046701273114,5.705148424234378e-06
student_province,1.0,3.1794678355759403,3.1794678355759403,13.57421420610245,0.0002293350925867716
score_min,1.0,2.321507102880458,2.321507102880458,9.911292180057341,0.0016427618103518613
class_rank_fillna,1.0,1.574717879033859,1.574717879033859,6.7229985990133105,0.009517989410526093
student_province_byphone,1.0,1.2907789246407464,1.2907789246407464,5.510768003294548,0.018900085061875717
class_background_label,1.0,1.2765872657581772,1.2765872657581772,5.45017905332738,0.019566665402992043
score_max,1.0,1.068846818034783,1.068846818034783,4.563265430514092,0.03266515984242517
student_grade_lpo,1.0,0.3899841572342306,0.3899841572342306,1.6649731216182784,0.19693372010423418
know_origin,1.0,0.3575237823397017,0.3575237823397017,1.526388897837663,0.2166557243199957
grade_subject,1.0,0.2757215137591887,0.2757215137591887,1.1771475864985703,0.2779379134769251
grade_rank,1.0,0.15947656249674252,0.15947656249674252,0.6808589148037516,0.40929146079582135
Residual,571992.0,133976.82831534854,0.23422850025061284,,
